id,line_id,firm,org,neworg,finalorg,mission,category,issue,comments,amlawrank
,,Crowell and Moring,Archdiocesan Legal Network,,Archdiocesan Legal Network,Founded in 1989 by His Eminence James Cardinal Hickey the Archdiocesan Legal Network is a program of Catholic Charities that provides free legal assistance and representation to low-income individuals and families who are residents of the District of Col,2,Legal Services,,112
,,Crowell and Moring,Capital Area Immigrant Rights Coalition,,Capital Area Immigrant Rights Coalition,The Capital Area Immigrants' Rights Coalition (CAIR Coalition) provides services to the immigrant advocacy community in the greater Washington DC metropolitan area. CAIR Coalition brings together community groups pro bono attorneys volunteers and immig,3,Immigration,,112
,,Crowell and Moring,Children's Law Center,,Children's Law Center,The Children's Law Center (CLC) envisions a future for the District of Columbia in which every child has a safe home a meaningful education and a healthy mind and body. We work towards this vision by providing legal services to at-risk children and their,3,Children,,112
,,Crowell and Moring,Public Law Center of Orange County,Public Law Center,Public Law Center,The Public Law Center (PLC) Orange County's pro bono law firm is committed to providing access to justice for low income residents. Through volunteers and staff PLC provides free civil legal services including counseling individual representation co,2,Legal Services,,112
,,Crowell and Moring,Tahirih Justice Center,,Tahirih Justice Center,The Tahirih Justice Center was founded in 1997 to address the acute need for legal services of immigrant and refugee women who have fled to the U.S. to seek protection from human rights abuses.http://www.tahirih.org/tahirih/about/index.html,3,Human Rights/International,,112
,,Crowell and Moring,Washington Lawyers Committee for Civil Rights and Urban Affairs,,Washington Lawyers Committee for Civil Rights and Urban Affairs,The Washington Lawyers' Committee for Civil Rights and Urban Affairs for 40 years  has represented both individuals and groups seeking to vindicate their civil rights. It has handled over 5000 civil rights cases in employment housing public accommodat,3,Civil Rights/Civil Liberties,,112
,,Crowell and Moring,Washington Legal Clinic for the Homeless,,Washington Legal Clinic for the Homeless,The Washington Legal Clinic for the Homeless works to end the unnecessary suffering caused by poverty and advocates for justice for people who are homeless or at-risk of becoming homeless in Washington DC. ,3,Housing/Homeless,,112
,,Crowell and Moring,Whitman-Walker Legal Clinic,,Whitman-Walker Legal Clinic,Our mission is to be the highest quality culturally competent community health center serving greater Washington's diverse urban community including individuals who face barriers to accessing care and with a special expertise in LGBT and HIV care. <new,3,LGBT,,112
77,144,Davis Polk,Asian American Legal Defense and Education Fund,,Asian American Legal Defense and Education Fund,Founded in 1974 the Asian American Legal Defense and Education Fund (AALDEF) is a national organization that protects and promotes the civil rights of Asian Americans. By combining litigation advocacy education and organizing AALDEF works with Asian ,3,Civil Rights/Civil Liberties,,26
77,145,Davis Polk,Human Rights First,,Human Rights First,Our Mission <newline>Human Rights First believes that building respect for human rights and the rule of law will help ensure the dignity to which every individual is entitled and will stem tyranny extremism intolerance and violence. <newline>Human Righ,3,Human Rights/International,,26
77,149,Davis Polk,inMotion,,inMotion,Lasting legal solutions for families in domestic crisis <newline>InMotion provides free legal and social services to low-income women in New York City. Our services are designed to address the unique needs of women who suffer from abuse‰ÛÓmost of our clie,3,Women's Rights,,26
77,146,Davis Polk,Lawyers Alliance for New York,,Lawyers Alliance for New York, <newline>Mission <newline>Lawyers Alliance for New York is the leading provider of business and transactional legal services for nonprofit organizations that are improving the quality of life in New York City neighborhoods. Our network of pro bono lawyer,3,Nonprofits,,26
77,147,Davis Polk,Legal Aid Society,,Legal Aid Society,Mission of The Legal Aid Society <newline>The Legal Aid Society is the nation's oldest and largest provider of legal services to the indigent. Founded in 1876 the Society provides a full range of civil legal services as well as criminal defense work and,2,Legal Services,,26
77,148,Davis Polk,MFY Legal Services Inc.,,MFY Legal Services Inc.,Mission <newline>MFY's mission is to ensure that no poor New Yorker is denied equal access to justice because he or she cannot afford representation. <newline>Philosophy & Practice <newline>MFY was founded on the principle of equal access to justice throu,2,Legal Services,,26
77,150,Davis Polk,New York Lawyers for the Public Interest,,New York Lawyers for the Public Interest,OUR MISSION <newline>New York Lawyers for the Public Interest is a nonprofit civil rights law firm that strives for social justice. In partnership with member law firms corporate law departments and other organizations NYLPI helps underrepresented peop,2,Legal Services,,26
77,151,Davis Polk,Sanctuary for Families,,Sanctuary for Families,Sanctuary for Families envisions a society in which freedom from domestic violence is a basic human right. We are dedicated to the safety healing and self-sufficiency of battered women and their children. To that end we offer a broad range of high qual,3,Women's Rights,,26
77,152,Davis Polk,Volunteer Lawyers for the Arts,,Volunteer Lawyers for the Arts,Our Mission <newline>Since 1969 Volunteer Lawyers for the Arts has been the leading provider of pro bono legal services mediation services educational programs and publications and advocacy to the arts community in the New York area. Through public ad,1,Culture,,26
77,153,Davis Polk,Volunteers of Legal Service,,Volunteers of Legal Service,The mission of Volunteers of Legal Service (VOLS) is to provide pro bono civil legal services to benefit poor people in New York City. We identify areas of legal need create projects to meet these needs and recruit and train volunteer lawyers to provide,2,Legal Services,,26
,,Davis Wright Tremaine,ACLU,,ACLU,The ACLU is our nation's guardian of liberty working daily in courts legislatures and communities to defend and preserve the individual rights and liberties that the Constitution and laws of the United States guarantee everyone in this country.http://ww,3,Civil Rights/Civil Liberties,,115
,,Davis Wright Tremaine,Center for Constitutional Rights,,Center for Constitutional Rights,The Center for Constitutional Rights is dedicated to advancing and protecting the rights guaranteed by the United States Constitution and the Universal Declaration of Human Rights. Founded in 1966 by attorneys who represented civil rights movements in the,3,Civil Rights/Civil Liberties,,115
,,Davis Wright Tremaine,King County Bar Association,,King County Bar Association,Today the mission of the King County Bar Association is to provide support to its diverse membership; promote a just collegial and accessible legal system and profession; work with the judiciary to achieve excellence in the administration of justice; strive to benefit the community through its own efforts and those of its Foundation; and offer opportunities for public service and input into matters of public policy.,4,Profession,,115
,,Davis Wright Tremaine,Legal Services for Children,,Legal Services for Children,Legal Services for Children (LSC) was founded in 1975 as one of the first non-profit law firms in the country to provide free legal representation and social work services to children and youth. <newline>LSC's mission is to ensure that all children and yo,3,Children,,115
,,Davis Wright Tremaine,Northwest Immigrants Rights Project,,Northwest Immigrants Rights Project,Northwest Immigrant Rights Project promotes justice for low-income immigrants by pursuing and defending their legal status. We focus on providing direct legal services supported by our education and public policy work.,3,Immigration,,115
,,Davis Wright Tremaine,Public Counsel,,Public Counsel,Public Counsel is dedicated to advancing equal justice under law by delivering pro bono legal services to indigent and underrepresented children and adults throughout Los Angeles County ensuring that other community-based organizations serving this popul,2,Legal Services,,115
,,Davis Wright Tremaine,Southern California Gay and Lesbian Center,,Southern California Gay and Lesbian Center,Through its Jeffrey Goodman Special Care Clinic and on-site pharmacy the Center offers free and low-cost health mental health HIV/AIDS medical care and HIV/STD testing and prevention.æThe Center also offers legal social cultural and educational services with unique programs for seniors families and youth including a 24-bed transitional living program for homeless youth.,3,LGBT,,115
,,Davis Wright Tremaine,Volunteer Advocates for Immigrant Justice,,Volunteer Advocates for Immigrant Justice,Volunteer Advocates for Immigrant Justice (VAIJ) is a pro bono legal representation project in the Seattle area that offers free legal assistance to detained immigrants seeking asylum or other forms of relief before the immigration courts.,3,Immigration,,115
80,154,Debevoise & Plimpton,Brennan Center for Justice,,Brennan Center for Justice,The Brennan Center for Justice at New York University School of Law is a non-partisan public policy and law institute that focuses on fundamental issues of democracy and justice. Our work ranges from voting rights to redistricting reform from access to t,3,Civil Rights/Civil Liberties,,37
80,155,Debevoise & Plimpton,Center for Reproductive Rights,,Center for Reproductive Rights,The Center for Reproductive Rights uses the law to advance reproductive freedom as a fundamental human right that all governments are legally obligated to protect respect and fulfill. <newline>Reproductive freedom lies at the heart of the promise of hum,3,Women's Rights,,37
80,156,Debevoise & Plimpton,Committee to Protect Journalists,,Committee to Protect Journalists,The Committee to Protect Journalists is an independent nonprofit organization founded in 1981. We promote press freedom worldwide by defending the rights of journalists to report the news without fear of reprisal. www.cpj.org/ ,3,Civil Rights/Civil Liberties,,37
80,157,Debevoise & Plimpton,Human Rights First,,Human Rights First,Our Mission <newline>Human Rights First believes that building respect for human rights and the rule of law will help ensure the dignity to which every individual is entitled and will stem tyranny extremism intolerance and violence. <newline>Human Righ,3,Human Rights/International,,37
80,158,Debevoise & Plimpton,Lawyers Committee for Civil Rights Under Law,,Lawyers Committee for Civil Rights Under Law,The Lawyers' Committee for Civil Rights Under Law a nonpartisan nonprofit organization was formed in 1963 at the request of President John F. Kennedy to involve the private bar in providing legal services to address racial discrimination. The principal,3,Civil Rights/Civil Liberties,,37
80,159,Debevoise & Plimpton,Legal Aid Society,,Legal Aid Society,Mission of The Legal Aid Society <newline>The Legal Aid Society is the nation's oldest and largest provider of legal services to the indigent. Founded in 1876 the Society provides a full range of civil legal services as well as criminal defense work and,2,Legal Services,,37
80,160,Debevoise & Plimpton,New York Alliance for New Americans,,New York Alliance for New Americans,can't find website but the group is centered around citizenship issues. www.gothamgazette.com/immigrants/jan.02.shtml,3,Immigration,,37
80,161,Debevoise & Plimpton,New York Lawyers for the Public Interest,,New York Lawyers for the Public Interest,OUR MISSION <newline>New York Lawyers for the Public Interest is a nonprofit civil rights law firm that strives for social justice. In partnership with member law firms corporate law departments and other organizations NYLPI helps underrepresented peop,2,Legal Services,,37
80,162,Debevoise & Plimpton,Robin Hood Foundation,,Robin Hood Foundation,Since 1988 Robin Hood has targeted poverty in New York City. By applying sound investment principles to philanthropy we've helped the best programs save lives and change fates. <newline> http://www.robinhood.org/approach.aspx <newline>,3,Nonprofits,,37
80,163,Debevoise & Plimpton,Urban Justice Center,,Urban Justice Center,For 25 years the Urban Justice Center has served New York City's most vulnerable residents through a combination of direct legal service systemic advocacy community education and political organizing. We assist our clients on numerous levels from one-,2,Legal Services,,37
81,165,Dechert,Homeless Advocacy Project,,Homeless Advocacy Project, <newline>The Homeless Advocacy Project (HAP) exists to meet the legal and advocacy needs of homeless individuals and families in Philadelphia. With a legal staff of six and a corps of 300 volunteer lawyers paralegals and law students HAP engages in di,3,Housing/Homeless,,29
81,166,Dechert,Lawyers Alliance for New York,,Lawyers Alliance for New York, <newline>Mission <newline>Lawyers Alliance for New York is the leading provider of business and transactional legal services for nonprofit organizations that are improving the quality of life in New York City neighborhoods. Our network of pro bono lawyer,3,Nonprofits,,29
81,169,Dechert,Lawyers Committee for Civil Rights Under Law,,Lawyers Committee for Civil Rights Under Law,The Lawyers' Committee for Civil Rights Under Law a nonpartisan nonprofit organization was formed in 1963 at the request of President John F. Kennedy to involve the private bar in providing legal services to address racial discrimination. The principal,3,Civil Rights/Civil Liberties,,29
81,167,Dechert,New York Lawyers for the Public Interest,,New York Lawyers for the Public Interest,OUR MISSION <newline>New York Lawyers for the Public Interest is a nonprofit civil rights law firm that strives for social justice. In partnership with member law firms corporate law departments and other organizations NYLPI helps underrepresented peop,2,Legal Services,,29
81,164,Dechert,Philadelphia Volunteers for the Indigent Program,,Philadelphia Volunteers for the Indigent Program,VIP promotes equal justice for the poor by providing civil legal services not otherwise available collaborating with other legal services organizations and promoting a culture of volunteerism by educating and exposing attorneys and law students to issues,2,Legal Services,,29
81,168,Dechert,Pro Bono Partnership,,Pro Bono Partnership,THE PRO BONO PARTNERSHIP is a tax-exempt public charity that provides free business legal services to eligible nonprofit community-based organizations in Westchester County NY Fairfield County CT; Hartford CT; and New Jersey. <newline>The Partnership ,3,Business/Economic Development,,29
81,172,Dechert,Public Law Center,,Public Law Center,The Public Law Center (PLC) Orange County's pro bono law firm is committed to providing access to justice for low income residents. Through volunteers and staff PLC provides free civil legal services including counseling individual representation co,2,Legal Services,,29
81,171,Dechert,Volunteer Lawyers Project in Boston,Boston Bar Association,Boston Bar Association, Our Mission <newline>The mission of the Volunteer Lawyers Project of the Boston Bar Association is: <newline>a) to provide high quality pro bono legal services in a broad range of civil matters to eligible residents of the greater Boston area including,2,Legal Services,,29
81,173,Dechert,Volunteer Legal Services of BASF,,Volunteer Legal Services of BASF,Every year the Volunteer Legal Services Program (VLSP) serves thousands of people in desperate need of legal help. We've provided this help with the assistance of volunteers throughout the Bay Area for more than 30 years. http://www.sfbar.org/volunteer/in,2,Legal Services,,29
81,170,Dechert,Washington Legal Clinic for the Homeless,,Washington Legal Clinic for the Homeless,The Washington Legal Clinic for the Homeless works to end the unnecessary suffering caused by poverty and advocates for justice for people who are homeless or at-risk of becoming homeless in Washington DC. <newline>We envision a just and inclusive commun,3,Housing/Homeless,,29
83,182.1,Dewey Ballantine,ACLU,ACLU ,ACLU,The LGBT Project brings impact lawsuits in state and federal courts throughout the country‰ÛÓ cases designed to have a significant effect on the lives of LGBT people. http://www.aclu.org/lgbt/index.html,3,LGBT,,58
83,176,Dewey Ballantine,Advocates for Children,,Advocates for Children,For over 35 years Advocates for Children of New York Inc. (AFC) has worked in partnership with New York City's most impoverished and vulnerable families to secure quality and equal public education services. AFC works on behalf of children from infancy t,3,Children,,58
83,181,Dewey Ballantine,Asian American Legal Defense and Education Fund,,Asian American Legal Defense and Education Fund,Founded in 1974 the Asian American Legal Defense and Education Fund (AALDEF) is a national organization that protects and promotes the civil rights of Asian Americans. By combining litigation advocacy education and organizing AALDEF works with Asian ,3,Civil Rights/Civil Liberties,,58
83,177,Dewey Ballantine,Center on Addiction and Substance Abuse at Columbia University,,Center on Addiction and Substance Abuse at Columbia University,Mission Statement <newline>    * Inform Americans of the economic and social costs of substance abuse and its impact on their lives. <newline>    * Assess what works in prevention treatment and law enforcement. <newline>    * Encourage every individual ,3,Health/Disability,,58
83,178,Dewey Ballantine,Korean American Family Service Center,,Korean American Family Service Center,The Korean American Family Service Center (KAFSC) serves families in the New York metro area with programs to prevent and end violence in the home and in partner relationships. We provide counseling advocacy and education and programs to strengthen comm,3,Civil Rights/Civil Liberties,,58
83,180,Dewey Ballantine,Lawyers Alliance for New York,,Lawyers Alliance for New York, <newline>Mission <newline>Lawyers Alliance for New York is the leading provider of business and transactional legal services for nonprofit organizations that are improving the quality of life in New York City neighborhoods. Our network of pro bono lawyer,3,Nonprofits,,58
83,174,Dewey Ballantine,Legal Aid Society,,Legal Aid Society,Mission of The Legal Aid Society <newline>The Legal Aid Society is the nation's oldest and largest provider of legal services to the indigent. Founded in 1876 the Society provides a full range of civil legal services as well as criminal defense work and,2,Legal Services,,58
83,179,Dewey Ballantine,New York Lawyers for the Public Interest,,New York Lawyers for the Public Interest,OUR MISSION <newline>New York Lawyers for the Public Interest is a nonprofit civil rights law firm that strives for social justice. In partnership with member law firms corporate law departments and other organizations NYLPI helps underrepresented peop,2,Legal Services,,58
83,182.2,Dewey Ballantine,Office of the Appellate Defender,,Office of the Appellate Defender,The Office of the State Appellate Defender is a state agency created by the State Appellate Defender Act (725 Illinois Compiled Statutes Act 105). The principal function of the Office of the State Appellate Defender is to represent indigent persons on ap,3,Prisoner's Rights,,58
83,175,Dewey Ballantine,Welfare Law Center,,Welfare Law Center,The National Center for Law and Economic Justice's vision is a society in which low-income individuals and families have the support they need to maintain a decent standard of living and take full advantage of opportunities to better their lives. <newline,3,Poverty,,58
87,187,Dickstein Shapiro,AARP Legal Counsel for the Elderly,,AARP Legal Counsel for the Elderly,For more than 50 years AARP has been serving its members and creating positive social change. <newline>AARP's mission is to enhance the quality of life for all as we age leading positive social change and delivering value to members through information,3,Elder,,
87,185,Dickstein Shapiro,ACLU,,ACLU,The ACLU is our nation's guardian of liberty working daily in courts legislatures and communities to defend and preserve the individual rights and liberties that the Constitution and laws of the United States guarantee everyone in this country.http://ww,3,Civil Rights/Civil Liberties,,
87,189,Dickstein Shapiro,Bread for the City,,Bread for the City,The mission of Bread for the City is to provide vulnerable residents of Washington DC with comprehensive services including food clothing medical care and legal and social services in an atmosphere of dignity and respect. We recognize that all peop,2,Legal Services,,
87,191,Dickstein Shapiro,Children's Law Center,,Children's Law Center,The Children's Law Center (CLC) envisions a future for the District of Columbia in which every child has a safe home a meaningful education and a healthy mind and body. We work towards this vision by providing legal services to at-risk children and their,3,Children,,
87,183,Dickstein Shapiro,D.C. Bar Pro Bono Clinic,D.C. Bar,D.C. Bar,Our Mission <newline>The D.C. Bar Pro Bono Program strives to mobilize the private bar to assist in making legal advice and representation fully available to low‰ÛÒincome persons in the District of Columbia. <newline>Program activities include: <newline> ,2,Legal Services,,
87,190,Dickstein Shapiro,Lawyers Committee for Civil Rights Under Law,,Lawyers Committee for Civil Rights Under Law,The Lawyers' Committee for Civil Rights Under Law a nonpartisan nonprofit organization was formed in 1963 at the request of President John F. Kennedy to involve the private bar in providing legal services to address racial discrimination. The principal,3,Civil Rights/Civil Liberties,,
87,192,Dickstein Shapiro,Lawyers for Children America,,Lawyers for Children America, <newline>Our Mission - Lawyers for Children America is a lead child advocacy organization protecting the rights of children who are victims of abuse; abandonment and neglect by providing quality pro bono legal representation and collaborating for systema,3,Children,,
87,184,Dickstein Shapiro,NAACP,,NAACP,Our Mission <newline>The mission of the National Association for the Advancement of Colored People is to ensure the political educational social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. <n,3,Civil Rights/Civil Liberties,,
87,186,Dickstein Shapiro,Trial Lawyers Care,,Trial Lawyers Care,Trial Lawyers Care (TLC) the charitable non-profit ATLA established to help victims of the September 11 terrorist attacks has established The Hurricane Katrina Relief Fund as a vehicle for collecting and distributing aid to relief organizations in Louis,3,Other,,
87,188,Dickstein Shapiro,Washington Area Lawyers For the Arts,,Washington Area Lawyers For the Arts,Since 1983 Washington Area Lawyers for the Arts has supported artistic expression and creative innovation by serving the legal needs of Washington Maryland and Virginia's arts and cultural communities. <newline>A 501 (c) 3 not-for profit organization W,1,Culture,,
89,193,DLA Piper,Asian American Legal Services Clinic,,Asian American Legal Services Clinic,The pro-bono Asian American Legal Services Clinic (AALSC) is made possible through the partnership of AHS DLA Piper US LLP (DLA Piper) and Chicago Volunteer Legal Services Foundation (CVLS). The clinic aims to meet the legal needs of the community by pr,2,Legal Services,not ethnicity,10
89,194,DLA Piper,Bay Area Legal Services,,Bay Area Legal Services,We are a family of 49 lawyers and a support staff of 55 all who have dedicated themselves to providing free civil legal services for low-income families throughout the Bay Area.  We are committed to what we do because we are passionate about certain cor,2,Legal Services,,10
89,195,DLA Piper,Children's Law Center,,Children's Law Center,The Children's Law Center (CLC) envisions a future for the District of Columbia in which every child has a safe home a meaningful education and a healthy mind and body. We work towards this vision by providing legal services to at-risk children and their,3,Children,,10
89,196,DLA Piper,Community Economic Development Law Project,,Community Economic Development Law Project,The Community Economic Development Law Project was launched in 1985 to respond to an unmet need in the delivery of legal services. The rationale was simple: initiatives undertaken by low-income communities require the same legal expertise including tax ,3,Business/Economic Development,,10
89,197,DLA Piper,Community Legal Services in East Palo Alto,,Community Legal Services in East Palo Alto,http://www.clsepa.org/,2,Legal Services,,10
89,198,DLA Piper,D.C. Bar Pro Bono Clinic,D.C. Bar,D.C. Bar,Our Mission <newline>The D.C. Bar Pro Bono Program strives to mobilize the private bar to assist in making legal advice and representation fully available to low‰ÛÒincome persons in the District of Columbia. <newline>Program activities include: <newline> ,2,Legal Services,,10
89,200,DLA Piper,Maryland Volunteer Lawyers Service,,Maryland Volunteer Lawyers Service,MVLS provides free (and in some cases low cost) legal representation to Marylanders with limited income.  We also provide free legal help for community-based nonprofits that are working to strengthen low-income communities in Maryland. www.mvlslaw.org,2,Legal Services,,10
89,199,DLA Piper,Public International Law & Policy Group,,Public International Law & Policy Group,The Public International Law & Policy Group (PILPG) a 2005 Nobel Peace Prize nominee is a 501(c)(3) non-profit organization which operates as a global pro bono law firm providing free legal assistance to states and governments involved in conflicts. To,3,Human Rights/International,,10
89,201,DLA Piper,San Diego Volunteer Lawyer Program,,San Diego Volunteer Lawyer Program,To provide equal access to the justice system by serving as a bridge between indigent and other disadvantaged people in San Diego County and the volunteer lawyers and others who are willing to donate their time and resources.http://sdvlp.org/,2,Legal Services,,10
89,202,DLA Piper,Stanford Community Law Clinic,,Stanford Community Law Clinic,The Stanford Community Law Clinic is a direct-services clinic serving low-income people in and around East Palo Alto an economically challenged community four miles from the law school campus. With an emphasis on trial-level skills‰ÛÓincluding fact inves,2,Legal Services,,10
90,205,Dorsey & Whitney,ABA Commission on Immigration,ABA,ABA,1) advocates for statutory and regulatory modifications in law and governmental practice consistent with ABA policy; 2) provides continuing education and timely information about trends court decisions and pertinent developments for members of the legal ,3,Immigration,,68
90,206,Dorsey & Whitney,ACLU,,ACLU,The ACLU is our nation's guardian of liberty working daily in courts legislatures and communities to defend and preserve the individual rights and liberties that the Constitution and laws of the United States guarantee everyone in this country.http://ww,3,Civil Rights/Civil Liberties,,68
90,209,Dorsey & Whitney,American Diabetes Association,,American Diabetes Association,he Association funds research to prevent cure and manage diabetes; delivers services to hundreds of communities; provides objective and credible information; and gives voice to those denied their rights because of diabetes. Founded in 1940 our mission i,3,Health/Disability,,68
90,211,Dorsey & Whitney,American Liver Foundation,,American Liver Foundation,Our mission is to facilitate advocate and promote education support and research for the prevention treatment and cure of liver disease. http://www.liverfoundation.org/about/,3,Health/Disability,,68
90,212,Dorsey & Whitney,Boys Choir of Harlem,,Boys Choir of Harlem,The Boys and Girls Choir of Harlem Alumni Ensemble's mission is to continue the legacy of Dr. Walter Turnbull and The Boys and Girls Choirs of Harlem by being an artistically driven organization dedicated to providing its members and its community in gene,1,Culture,,68
90,210,Dorsey & Whitney,Colorado Uplift,,Colorado Uplift,"Mission Statement: \ Building long-term life-changing relationships with urban youth.\""                                                         For over 25 years of operation UpLift has remained focused on its mission empowering urban youth to lead succ",3,Children,,68
90,207,Dorsey & Whitney,LAMBDA Legal Defense and Education Fund,,LAMBDA Legal Defense and Education Fund,Lambda Legal is a national organization committed to achieving full recognition of the civil rights of lesbians gay men bisexuals transgender people and those with HIV through impact litigation education and public policy work.http://www.lambdalegal.o,3,LGBT,,68
90,203,Dorsey & Whitney,Lawyers Committee for Civil Rights Under Law,,Lawyers Committee for Civil Rights Under Law,The Lawyers' Committee for Civil Rights Under Law a nonpartisan nonprofit organization was formed in 1963 at the request of President John F. Kennedy to involve the private bar in providing legal services to address racial discrimination. The principal,3,Civil Rights/Civil Liberties,,68
90,208,Dorsey & Whitney,Minnesota Advocates for Human Rights,,Minnesota Advocates for Human Rights, <newline>About The Advocates for Human Rights <newline>The Advocates has received international recognition for a broad range of innovative programs to promote human rights and prevent the violation of those rights. The Advocates provides investigative f,3,Human Rights/International,,68
90,204,Dorsey & Whitney,NAACP,,NAACP,Our Mission <newline>The mission of the National Association for the Advancement of Colored People is to ensure the political educational social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. <n,3,Civil Rights/Civil Liberties,,68
92,215,Drinker Biddle,ACLU,,ACLU,The ACLU is our nation's guardian of liberty working daily in courts legislatures and communities to defend and preserve the individual rights and liberties that the Constitution and laws of the United States guarantee everyone in this country.http://ww,3,Civil Rights/Civil Liberties,,96
92,214,Drinker Biddle,Legal Clinic for the Disabled,,Legal Clinic for the Disabled,The Legal Clinic for the Disabled a 501(c)(3) non-profit corporation with offices at Magee Rehabilitation Hospital provides free legal services to low-income people with physical disabilities in Philadelphia Bucks Chester Delaware and Montgomery Coun,3,Health/Disability,,96
92,220,Drinker Biddle,Philadelphia Bar Association Military Assistance Project,,Philadelphia Bar Association Military Assistance Project,Through the Military Assistance Program volunteer attorneys provide free legal assistance regardless of the income of the service man or woman. Areas of law include SSCRA USERRA SGLI wills and estate planning debtor/creditor employment consumer h,3,Veteran,,96
92,217.1,Drinker Biddle,Philadelphia Volunteer Lawyers for the Arts,,Philadelphia Volunteer Lawyers for the Arts,The Arts & Business Council of Greater Philadelphia helps drive the cultural vitality and economic development of the Greater Philadelphia Region by strengthening the partnership between business and the arts and cultural community. <newline> http://www.a,1,Culture,,96
92,213,Drinker Biddle,Philadelphia Volunteers for the Indigent Program,,Philadelphia Volunteers for the Indigent Program,VIP promotes equal justice for the poor by providing civil legal services not otherwise available collaborating with other legal services organizations and promoting a culture of volunteerism by educating and exposing attorneys and law students to issues,2,Legal Services,,96
92,222,Drinker Biddle,Prisoner Civil Rights Panel of the U.S. District Court for the Eastern District of Pennsyvania,,Prisoner Civil Rights Panel of the U.S. District Court for the Eastern District of Pennsyvania, Prisoner Civil Rights Panel for the United States District Court for the Eastern District of Pennsylvania; the panel is responsible for coordinating and assigning court appointments in prisoner civil rights matters to lawyers and law firms that agree to ,3,Prisoner's Rights,,96
92,221,Drinker Biddle,Pro Bono Partnership,,Pro Bono Partnership,THE PRO BONO PARTNERSHIP is a tax-exempt public charity that provides free business legal services to eligible nonprofit community-based organizations in Westchester County NY Fairfield County CT; Hartford CT; and New Jersey. <newline>The Partnership ,3,Business/Economic Development,,96
92,219,Drinker Biddle,Senior Law Center,,Senior Law Center,For nearly three decades Community Legal Services Inc. (CLS) has provided the highest quality legal assistance to the needy with the ongoing support of the Philadelphia Bar Association and the legal community. Our mission is to help low-income Philadelp,3,Elder,,96
92,216,Drinker Biddle,Support Center for Child Advocates,,Support Center for Child Advocates,The Support Center for Child Advocates provides legal assistance and social service advocacy to abused and neglected children in Philadelphia County. Child Advocates is one of the most successful volunteer models serving children in the country. Since its,3,Children,,96
92,218,Drinker Biddle,Veterans Pro Bono Consortium,,Veterans Pro Bono Consortium,The Veterans Consortium Pro Bono Program (Program) was created in 1992 with a dual mission: to recruit and train attorneys in the fledgling field of veterans' law; and to provide assistance to unrepresented appellants at the U.S. Court of Appeals for Vet,3,Veteran,,96
92,217.2,Drinker Biddle,Washington Area Lawyers For the Arts,,Washington Area Lawyers For the Arts,Since 1983 Washington Area Lawyers for the Arts has supported artistic expression and creative innovation by serving the legal needs of Washington Maryland and Virginia's arts and cultural communities. <newline>A 501 (c) 3 not-for profit organization W,1,Culture,,96
,,Dykema Gossett,ACLU,,ACLU,The ACLU is our nation's guardian of liberty working daily in courts legislatures and communities to defend and preserve the individual rights and liberties that the Constitution and laws of the United States guarantee everyone in this country.http://ww,3,Civil Rights/Civil Liberties,,143
,,Dykema Gossett,Chicago Volunteer Legal Services,,Chicago Volunteer Legal Services,Chicago Volunteer Legal Services Foundation was formed to coordinate promote and support the involvement of the legal community in the voluntary pro bono representation of individual clients from the ranks of Chicago area's poor and working poor.  Our vo,2,Legal Services,,143
,,Dykema Gossett,Community Legal Resources Detroit MI,,Community Legal Resources Detroit MI,Community Legal Resources delivers free legal services to nonprofit organizations building neighborhoods in Detroit and throughout Michigan. Our mission is to foster pro bono legal representation for unfulfilled legal needs of nonprofit community organiza,2,Legal Services,,143
,,Dykema Gossett,Detroit Legal Services Clinic,,Detroit Legal Services Clinic,The Detroit Legal Services Clinic (DLSC) is a unique avenue for the provision of legal services to the indigent in the metropolitan Detroit area. It represents collaboration between the Detroit Metropolitan Bar Association corporate legal staffs the staffs of the major law firms in the area and several providers of legal services to the indigent. The Clinic is an attempt to put practitioners who normally do not have direct client contact into a one-on-one relationship with a qualifying individual.,2,Legal Services,,143
,,Dykema Gossett,First Step Domestic Violence Prevention,,First Step Domestic Violence Prevention,To promote safety to victims of violence through education counseling advocacy and shelter when needed to any person suffering the effects of domestic violence and/or sexual assault. To promote non-violent behavior by educating the perpetrators of violence.,3,Women's Rights,,143
,,Dykema Gossett,LA County Bar Association Barristers AIDS Legal Services Project,,LA County Bar Association Barristers AIDS Legal Services Project,The AIDS Legal Services Project (ALSP) has directed its resources to assisting low-income people living with HIV disease almost from the very beginning of the HIV epidemic. Since it was founded in 1986 by the LACBA Barristers the Project has provided direct one-on-one pro bono legal representation to thousands of people living with HIV and AIDS who have an HIV related legal problem. The scope of services includes immigration guardianships discrimination public and private benefits debtor relief and bankruptcy simple estate planning and housing.æ,3,Health/Disability,,143
,,Dykema Gossett,National Center for Missing and Exploited Children,,National Center for Missing and Exploited Children, National Mandate and Mission <newline>The National Center for Missing & Exploited Children'så¨ (NCMEC) mission is to help prevent child abduction and sexual exploitation; help find missing children; and assist victims of child abduction and sexual exploi,3,Children,,143
